date,views,likes,comments,shares,total engagements,engagement rate %,company name,post topic,post url,post content,number of faces,face emotion,face position,face area %,objects,number of objects,object 1,object 1 position,object 1 area %,object 2,object 2 position,object 2 area %,text length,dominant colour,cta,cta position,cta area %,logos,logo 1 name,logo 1 position,logo 1 area %,logo 2 name,logo 2 position,logo 2 area %,number of persons,person area %
2023-09-04,1711,4,0,0,4,0.24,Infosys,Offerings,https://twitter.com/Infosys/status/1698614379871117384,Manufacturers are moving beyond the traditional JIT models to build agility and resiliency in their #supplychains. Read an insightful piece by Infosys and MIT Technology Review that details these emerging trends and more. http://bit.ly/3Gd0NYa #InfosysCobalt,1,Joy,top-center,0.6934418676,"Person, Helmet, Person, Helmet, Pants, Hat, Pants",7,Person,center,16.37599286,Person,center-right,14.23647438,86,darkslategray,,,,Infosys,Infosys,top-left,1.364997696,,,,2,30.61246724
2023-09-06,794,3,0,0,3,0.38,Capgemini,Awards & Recognition,https://twitter.com/Capgemini/status/1699376970948104295,"Deliver frictionless, digitally-augmented, #DataDriven #marketing operations with a Star Performer. Discover what led 
@EverestGroup
 to recognize us in their PEAK Matrix® 2023 report for Marketing Services. Read: https://bit.ly/3rHX3uD

#FrictionlessEnterprise",1,Joy,center-right,2.226710367,"Person, Laptop, Dress",3,Person,center-right,33.04420449,Laptop,bottom-right,7.585905509,103,darkslategray,,,,,,,,,,,1,33.04420449
2023-09-04,1495,3,0,0,3,0.21,Infosys,Offerings,https://twitter.com/Infosys/status/1698637027791507637,"Darren Kane, chief security officer with nbn Australia, discusses Australia’s mission to narrow the digital gap, the need for C-suite involvement in security solutions, and the mix of challenges & opportunities AI brings to the security industry. http://bit.ly/45A77oB #podcast",4,Joy,center-right,0.9791122715,"Person, Person, Person, Person, Person, Coat, Clothing",7,Person,bottom-right,18.00243304,Person,center,6.462419815,99,dimgray,,,,Infosys,Infosys,top-left,1.347719244,,,,5,39.56240914
2023-09-04,1767,5,0,0,5,0.29,Infosys,Hiring,https://twitter.com/Infosys/status/1698629482943324378,"Thank you for unlocking invaluable learning opportunities for 1,000 college students + 1,000 unemployed graduates! Upwards and Onwards! 🚀
Haven’t heard the #InfySoundOfOpportunity yet? Click here to ring the Infy Sound Of Opportunity: http://infy.com/48289uS
#ForwardWithInfosys",,,,,"1D barcode, 1D barcode",2,1D barcode,center-left,5.892204402,1D barcode,center-left,4.935884293,101,gainsboro,,,,Infosys,Infosys,top-left,1.846885813,,,,0,0
2023-09-04,1882,4,0,0,4,0.22,Infosys,Thought Leader,https://twitter.com/Infosys/status/1698659677188309046,"Uncover groundbreaking methodology for modernizing legacy code in this blog by #iCETS leader Vittal Setty, Infosys. Explore the fusion of Infosys and #GenerativeAI that can help enterprises reduce the development effort by 50%. Read here. http://infy.com/45A2GKt",1,Joy,center-right,1.990477653,"Laptop, Person, Computer monitor, Computer keyboard, Clothing",5,Person,center-right,37.18866454,Laptop,bottom-center,8.636981034,72,black,,,,Infosys,Infosys,top-left,1.364997696,,,,1,37.18866454
2023-09-05,1810,6,1,0,7,0.39,Infosys,Offerings,https://twitter.com/Infosys/status/1699006969145659677,"Watch the video to learn how Infosys developed a scalable & resilient #cloudnative solution for Cisco’s technical support services. The solution helped 
@Cisco
 in improving agent productivity and enhancing #customerexperience. http://infy.com/3qZ0bCm #InfosysCobalt 
@AWS_Partners",,,,,"Mobile phone, Person",2,Mobile phone,center,13.76912733,Person,center-right,42.94404046,116,lightslategray,,,,Cisco Systems,Cisco Systems,top-right,1.529718937,,,,1,42.94404046
2023-09-06,1681,7,0,0,7,0.42,Infosys,Employee Branding,https://twitter.com/Infosys/status/1699308956710011366,Tomasz feels at home interacting with culturally diverse people from around the globe thanks to the healthy work environment provided at Infosys! http://infy.com/3EpY8KL #ThisIsInfosys #Careers,1,Joy,center-left,2.262062128,"Person, Glasses, Clothing",3,Person,center-left,9.756221022,Glasses,center-left,1.059526714,317,saddlebrown,,,,Infosys,Infosys,top-left,1.475545274,,,,1,9.756221022
2023-09-05,1587,4,0,0,4,0.26,Infosys,Offerings,https://twitter.com/Infosys/status/1699037167387840940,"74% of C-suite & IT executives invest their money in product management, underlining product-centricity as a key business priority. 
For more insights from #TechNavigator 2023, read: http://infy.com/44GcpgK 
@Infosys_IKI",1,Joy,top-center,3.24988481,"Glasses, Person, Top, Luggage & bags, Belt, Necklace",6,Person,center-right,36.27342942,Glasses,top-center,1.167374904,62,darkslategray,,,,Infosys,Infosys,top-left,1.317769928,,,,1,36.27342942
2023-09-07,801,1,0,0,1,0.13,Infosys,Offerings,https://twitter.com/Infosys/status/1699648697842237876,Know how enterprises strengthen their digital foundation and elevate system resilience with Infosys Site Reliability Engineering. http://infy.com/4884bkL,1,Joy,top-right,0.4438642298,"Pants, Coat, Person, Bag",4,Person,center-right,13.46976503,Coat,center-right,5.439812779,85,lightslategray,,,,Infosys,Infosys,top-left,1.461757027,,,,1,13.46976503
2023-09-07,1273,2,0,0,2,0.16,Infosys,Thought Leader,https://twitter.com/Infosys/status/1699754392478511312,"We are proud to share that #iCETS leader Manjunatha will share his thoughts at the IEEE India Blockchain Forum about advancements, opportunities, and challenges in the fields of Blockchain, Metaverse, and Web 3.0 along with many industry experts.

Visit: http://infy.com/3LbqBHG",1,Joy,center-right,1.775456919,"Clothing, Person",2,Clothing,center-right,1.707730731,Person,center-right,5.281493103,103,darkcyan,,,,Infosys,Infosys,top-left,1.566579634,,,,1,5.281493103
2023-09-07,1112,11,0,0,11,0.99,Infosys,Offerings,https://twitter.com/Infosys/status/1699726685254414379,"Cloud adoption is far from slowing down. 67% of companies Infosys surveyed increased cloud spending this year and 80% forecast spending higher next year as well. However, companies utilized only 47% of the committed cloud spend! http://infy.com/3Z6owme #InfyNews #InfosysCobalt",,,,,Animal,1,Animal,top-right,1.721739744,,,,52,cornflowerblue,,,,,,,,,,,0,0
2023-09-02,3745,24,2,0,26,0.7,Cognizant,Offerings,https://twitter.com/Cognizant/status/1697691949178712392,Why enable personalized dialogues with customers and employees using #genAI? Here’s Gregory Verlinden’s 4 out of 5 insights: ⬇️,1,Joy,center-right,1.692056613,"Person, Shoe, Shoe, Footwear, Glasses",5,Person,center,43.67075584,Shoe,bottom-center,1.475296303,11,darkslateblue,,,,,,,,,,,1,43.67075584
2023-09-06,1575,5,0,0,5,0.32,Infosys,Events,https://twitter.com/Infosys/status/1699431976346784084,"Learn how AI can enhance productivity, boost innovation, and unlock new revenue streams for your business. Discover actionable insights to lead your organization into an #AIfirst future. http://infy.com/3LbFgmi #InfosysAmericasConfluence #AIEnterprise #InnovationUnleashed",2,Joy,center,0.3040657439,"Person, Person",2,Person,center,1.134585642,Person,center,1.200844654,258,midnightblue,,,,,,,,,,,2,2.335430295
2023-09-07,1441,8,1,0,9,0.63,Infosys,Thought Leader,https://twitter.com/Infosys/status/1699769491113017499,".
@rafeetarafdar
, Infosys, sheds light on Infosys’ #AIfirst strategy & insights on the potential of AI in amplifying business values. He also mentions #InfosysTopaz and the eight broad areas identified for AI applications at Infosys. http://bit.ly/3RahBq8 #digitaltransformation",1,Joy,center-right,3.916833052,"Person, Clothing",2,Person,center-right,10.64464518,Clothing,center-right,2.753809277,105,darkorchid,,,,Infosys,Infosys,top-left,1.606128091,,,,1,10.64464518
2023-09-05,1505,7,0,0,7,0.47,HCL,Awards & Recognition,https://twitter.com/hcltech/status/1698810694672527390,"We have been recognized as a Leader in the Everest Group PEAK Matrix® Assessment 2023 - Unstructured Document Processing Products. Our patented AI product, EXACTO™, can digitize, classify and extract semi-structured and unstructured documents. https://bit.ly/3YU1lLI",,,,,"Packaged goods, Person",2,Packaged goods,center,84.18708413,Person,center-right,0.9053683548,141,lightgray,,,,,,,,,,,1,0.9053683548
2023-09-07,465,1,0,0,1,0.22,Infosys,Offerings,https://twitter.com/Infosys/status/1699746841628164518,"Infosys accelerated Avery Dennison’s #digitaltransformation by improving processes, system availability, scalability, and user experience while reducing overall operational expenses. Know how we enabled this at #Oracle #CloudWorld 2023. http://infy.com/3R6Q1dv",1,Joy,top-center,1.405314084,"Person, Top, Skirt, Shirt",4,Person,center-right,33.98198112,Top,center-right,18.29474133,117,gray,Know How Avery,top-left,1.459837199,Oracle Corporation,Oracle Corporation,top-right,1.786591921,,,,1,33.98198112
2023-09-04,2782,14,0,0,14,0.51,Infosys,Deals,https://twitter.com/Infosys/status/1698590918339629390,Infosys announces strategic collaboration with Danske Bank in India to accelerate digital transformation initiatives with speed and scale. Read more. http://infy.com/3sJrbWK #InfyNews,2,Joy,center-right,2.159422516,"Person, Person, Person, Table top, Laptop, Computer keyboard",6,Person,center-right,32.67102406,Person,center,9.822323927,91,darkslategray,,,,Infosys,Infosys,top-left,1.603440332,,,,3,52.07970522
2023-09-04,1685,3,0,0,3,0.18,Infosys,Thought Leader,https://twitter.com/Infosys/status/1698644579103199677,"The rise of generative #AI is accompanied by ethical challenges in business. Bali, Infosys, shared his ideas on combining technological innovation and ethics on 
@frsilicon
. Read more! http://bit.ly/3r3WDP1",1,Joy,center-right,8.63884196,"Person, Clothing",2,Person,center-right,42.4734769,Clothing,bottom-right,16.81516729,174,darkcyan,,,,,,,,,,,1,42.4734769
2023-09-06,726,3,0,0,3,0.42,Capgemini,Events,https://twitter.com/Capgemini/status/1699410922077327489,"Join us on Sept 18 at the #ClimateWeekNYC Capgemini Connect as we delve into the harmonious alignment of planet and business needs: https://bit.ly/44BLoLo 

We're also partnering with Climate Group for RE100 Leadership Awards and speaking at World Climate Foundation's Summits.",,,,,,,,,,,,,68,midnightblue,,,,,,,,,,,,
2023-09-05,1901,3,0,0,3,0.16,Infosys,Thought Leader,https://twitter.com/Infosys/status/1698946577912443107,"Digital enterprise leaders must shift from ensuring data compliance to building data trust. Read more by 
@sunil_infy
, Infosys, in 
@InformationWeek
. http://bit.ly/3Rf8rZo",1,Joy,center-right,2.457379819,"Person, Person",2,Person,center-right,5.653127865,Person,center-right,6.503960204,137,lightseagreen,,,,,,,,,,,2,12.15708807
2023-09-06,2654,11,0,0,11,0.42,Infosys,Brand,https://twitter.com/Infosys/status/1699308958521954412,"Fill your bag of life with learnings and memories throughout your journey with Infosys!
#InfyLife #ForwardWithInfosys
",1,Joy,center-right,0.2960640138,"Person, Chair, Chair, Table, Luggage & bags, Clothing",6,Chair,bottom-right,7.769895301,Person,center-right,7.084357953,29,peru,,,,,,,,,,,1,7.084357953
2023-09-07,1366,3,0,0,3,0.22,Deloitte,Offerings,https://twitter.com/Deloitte/status/1699748495777755440,"Persistently high #inflation poses a major threat to #government #infrastructure programs globally. What steps can help create successful, resilient programs? Find out in our #infra report: https://deloi.tt/45GEBSa",,,,,Bracelet,1,Bracelet,center-right,18.86878727,,,,131,black,,,,Deloitte,Deloitte,top-left,1.470238095,,,,0,0
2023-09-07,3702,9,0,0,9,0.25,Deloitte,Offerings,https://twitter.com/Deloitte/status/1699774717320695885,"#Cyber threats are pervasive and increasingly sophisticated. Deloitte's in-depth exploration of global cyber threats across EMEA, APAC, and the Americas reveals a complex landscape of risk and readiness. Learn more - https://deloi.tt/3r2SFpU #cybersecurity",,,,,Packaged goods,1,Packaged goods,center-right,40.43726765,,,,165,darkslategray,,,,Deloitte,Deloitte,top-left,1.313080495,,,,0,0
2023-09-07,1548,6,0,0,6,0.39,Infosys,Events,https://twitter.com/Infosys/status/1699792142632378558,Don't miss our session at Infosys Americas Confluence - AI-First Approach to Energy Transition. Explore how cutting-edge technologies are driving the shift towards renewable energy and sustainability. http://infy.com/44CsjJe #InfosysAmericasConfluence #AmericasConfluence,2,Joy,center,0.3814878893,"Person, Person",2,Person,center,1.116860669,Person,center,1.175305997,297,midnightblue,,,,,,,,,,,2,2.292166666
2023-09-07,816,4,0,0,4,0.5,Infosys,Offerings,https://twitter.com/Infosys/status/1699731744725872811,"A holistic AI-first data quality framework that fosters efficient #qualityengineering practices for data transformation initiatives. 
Learn more in this whitepaper. http://infy.com/3Pt6k31
#InfyTesting #InfosysTopaz",1,Joy,top-right,2.306097374,"Person, Person",2,Person,center-right,28.30930192,Person,center-right,28.2582914,102,black,,,,,,,,,,,2,56.56759332
2023-09-07,1450,6,0,0,6,0.42,Infosys,Events,https://twitter.com/Infosys/status/1699786535808503897,"Organizations are navigating the many challenges to continue to invest in Environmental, Social, and Governance initiatives. Join us for a thought-provoking session on Managing the Pushback Against ESG. http://infy.com/44CsjJe #InfosysAmericasConfluence #AmericasConfluence",3,Joy,center-left,0.428200692,"Person, Person",2,Person,center,1.28297567,Person,center-right,1.374764201,405,midnightblue,,,,,,,,,,,2,2.657739871
2023-09-05,1175,7,1,0,8,0.69,HCL,CSR,https://twitter.com/hcltech/status/1698968473685369211,"💬 
@NidhiPundhir08
, Vice President of Global CSR at HCLTech, sat with 
@the_hindu
 to discuss the scope and the impact of HCLFoundation's ‘Sports for Change’ initiative that promotes sports for the holistic development of children from underserved rural and urban communities.

🤾‍♀️ Benefiting 27,000+ children so far, 'Sports for Change' is an initiative of 
@HCL_Foundation
, which delivers the corporate social responsibility agenda of HCLTech in India.

👇 Learn more by reading the articl",9,Joy,top-left,0.3892215569,"Person, Person, Person, Person, Person, Person, Person, Person, Person, Person",10,Person,center-right,10.90950356,Person,center,10.27846291,31,darkslategray,,,,,,,,,,,10,66.27079865
2023-09-06,3631,13,3,0,16,0.45,Deloitte,ESG,https://twitter.com/Deloitte/status/1699376902207615140,What is stopping companies from integrating sustainability into their business strategies? Deloitte’s latest article discusses these hurdles and how to overcome them. Learn more. #IntegratingSustainability https://deloi.tt/3Z1f4k2,,,,,"Animal, Pillow",2,Animal,center,1.220378337,Pillow,top-right,16.6544648,145,gainsboro,,,,Deloitte,Deloitte,bottom-left,3.356328486,,,,0,0
2023-09-08,946,1,0,0,1,0.11,Infosys,Offerings,https://twitter.com/Infosys/status/1700063933632066042,Insurers face challenges with managing vast amounts of Insurance data. Learn how Infosys Guidewire’s claims management software leverages #dataanalytics to improve claims processes and accelerate operational efficiency. Read more: http://infy.com/3PbkqVf,1,Joy,center,,"Person, Laptop, Computer monitor, Chair, Table",5,Person,bottom-center,,Laptop,bottom-right,,83,silver,,,,Infosys,Infosys,top-left,,,,,1,20.19813076
2023-09-10,8407,60,3,0,63,0.75,Infosys,Offerings,https://twitter.com/Infosys/status/1700820265532293428,"In a recent gathering of some of the brightest #AI & startup minds, it was insightful to hear tech leaders, 
@NandanNilekani
, Infosys, & Jensen Huang, Nvidia, discuss the future of AI and how it will transform the future. Stay tuned for what's coming #InfosysTopaz",2,Joy,top-center,,"Pants, Pants, Outerwear, Outerwear, Person, Person",6,Person,center,,Person,center,,3,rosybrown,,,,,,,,,,,2,35.52123113
2023-09-11,1895,7,0,0,7,0.37,Infosys,Events,https://twitter.com/Infosys/status/1701181295613628827,"Reinvent customer experience with Infosys Salesforce Application Testing services to achieve greater business value.
#ScaleNewSummits with us at #DF23 and learn how we are driving change and accelerating growth. http://infy.com/466oWvb #InfosysCobalt #InfySalesforcePractice",2,Joy,center,,"Person, Person, Chair, Chair",4,Person,bottom-right,,Person,bottom-center,,69,darkslategray,,,,,,,,,,,2,31.63099848
2023-09-12,1383,5,0,0,5,0.37,Infosys,Events,https://twitter.com/Infosys/status/1701566332037140868,Gain insights into how Party City and STG Logistics are modernizing their technology landscape to stay ahead of competition and reduce costs at #Oracle #Cloudworld2023. http://bit.ly/44NrLAj #InfyAtOCW23,1,Joy,center-right,,"Person, Microphone, Shirt",3,Person,center-right,,Microphone,center,,263,darkslategray,,,,Oracle Corporation,Oracle Corporation,top-right,,,,,1,22.78276623
2023-09-12,1431,5,0,0,5,0.35,Infosys,Events,https://twitter.com/Infosys/status/1701513483169247487,"Revolutionizing Business with AWS: A tec-Powered Partnership. For more - http://infy.com/3PJBseZ
#InfosysAmericasConfluence #BusinessTransformation #AWS #AmericasConfluence",3,Joy,center,,"Person, Person, Person, Person",4,Person,center-left,,Person,center,,356,mediumseagreen,,,,,,,,,,,4,4.633112527
2023-09-12,2186,7,1,0,8,0.37,Infosys,Awards & Recognition,https://twitter.com/Infosys/status/1701498383423168570,"As a leader in 
@IDC
 MarketScape Artificial Intelligence Services 2023, we believe Infosys continues to scale enterprise-grade AI while managing risks. Read the excerpt now. http://infy.com/3RhGG2H #InfosysTopaz #appliedAI #generativeAI",1,Joy,center-right,,"Person, Coat, Glasses",3,Person,center-right,,Coat,bottom-right,,111,darkslategray,,,,,,,,,,,1,25.32508772
2023-09-13,1637,5,0,0,5,0.31,Infosys,Thought Leader,https://twitter.com/Infosys/status/1701839504686886955,The collaborative spirit at Infosys is what keeps Horia driven to succeed at work! Join Infosys and feel inspired to build what’s next. http://infy.com/3PgYmsD #ThisIsInfosys #Careers,1,Joy,center-left,,"Person, Clothing, Person",3,Person,center-left,,Clothing,center-left,,181,darkcyan,,,,Infosys,Infosys,top-left,,,,,2,18.57956308
2023-09-14,24100,174,7,0,181,0.76,Infosys,Awards & Recognition,https://twitter.com/Infosys/status/1702339645009514561,Infosys has been featured in TIME World’s Best Companies 2023 list. We are among the top 3 global professional services firm and the only brand from India in the Top 100 global rankings: https://infy.com/44Y4I5H,,,,,Building,1,Building,bottom-center,,,,,90,silver,,,,Infosys,Infosys,top-left,,,,,0,0
2023-09-14,1386,3,0,0,3,0.22,Infosys,Offerings,https://twitter.com/Infosys/status/1702238256975245353,"The acceptance of 5G technology has become increasingly popular among enterprises, as it offers enhanced speeds, lower latency, and increased capacity compared to previous generations of wireless network 4G/LTE. http://infy.com/3EAexfE",,,,,,,,,,,,,91,darkslategray,,,,Infosys,Infosys,top-left,,,,,,
2023-09-08,742,4,0,0,4,0.54,Infosys,Awards & Recognition,https://twitter.com/Infosys/status/1700054455691985033,".
@IDC
 MarketScape recognizes Infosys for its #artificialintelligence capabilities. Read now. http://infy.com/44KjZHe #appliedAI #InfosysTopaz",,,,,,,,,,,,,245,darkmagenta,,,,,,,,,,,,
2023-09-09,2929,8,0,0,8,0.28,Infosys,Events,https://twitter.com/Infosys/status/1700486717881340316,Join us at Infosys Americas Confluence for an inspiring session on Resilience: Your launchpad to growth. Discover strategies to thrive in challenging times. For more - http://infy.com/464E5gI #InfosysAmericasConfluence #BusinessTransformation  #TechInnovation #AmericasConfluence,4,Joy,center,,"Person, Person, Person, Person",4,Person,center-right,,Person,center-left,,387,midnightblue,,,,,,,,,,,4,4.625560284
2023-09-11,2236,8,0,0,8,0.36,Infosys,Events,https://twitter.com/Infosys/status/1701151098700997063,"Dive into the future of manufacturing, join us at our session and learn how AI is reshaping the industry. 
For more information - http://infy.com/3Rfan4c
#InfosysAmericasConfluence #BusinessTransformation #TechInnovation #AmericasConfluence",3,Joy,center,,"Person, Person, Person",3,Person,center-right,,Person,center,,361,midnightblue,,,,,,,,,,,3,3.353133742
2023-09-11,2627,9,1,0,10,0.39,Infosys,Awards & Recognition,https://twitter.com/Infosys/status/1701117586472145010,"Hear from Bali on Infosys being recognized as a Leader in 
@IDC
 MarketScape for Worldwide Artificial Intelligence Services 2023. http://infy.com/3rdO6ZV #appliedAI #InfosysTopaz",1,Joy,center-right,,"Person, Suit",2,Person,center-right,,Suit,bottom-right,,188,darkcyan,,,,,,,,,,,1,41.95972135
2023-09-12,1250,3,0,0,3,0.24,Infosys,Offerings,https://twitter.com/Infosys/status/1701521035923734543,"The convergence of information technology (IT) with operational technology (OT) and engineering technology (ET) is a crucial enabler for digital transformation in companies, particularly asset-intensive industries such as mining and manufacturing. http://infy.com/44N152K",,,,,,,,,,,,,75,darkslategray,,,,,,,,,,,,
2023-09-12,1372,6,0,0,6,0.44,Infosys,Events,https://twitter.com/Infosys/status/1701543681742749745,"Let us come together for innovation and a sustainable future at #InfosysConfluence2023, where we are committed to reducing our carbon footprint and making a positive impact on the environment. http://infy.com/3PJBseZ #CarbonNeutral #AmericasConfluence #InfosysAmericasConfluence",,,,,,,,,,,,,287,midnightblue,,,,,,,,,,,,
2023-09-07,2400,29,0,0,29,1.21,Cognizant,Thought Leader,https://twitter.com/Cognizant/status/1699814749339267447,"In an article with the World Economic Forum, our CEO 
@imravikumars
 shared his thoughts on the importance of diversity in AI and why he believes that the most important human skill is going to be problem-finding rather than problem-solving. https://cogniz.at/487jc6o",,,,,,,,,,,,,400,midnightblue,,,,,,,,,,,,
2023-09-08,751,6,0,0,6,0.8,Infosys,Offerings,https://twitter.com/Infosys/status/1700079031138357285,"The combination of remote working supported by the shift in delivering IT, at Infosys, has led to an improved #employeeexperience, and users reporting increased satisfaction. 
Read more: http://infy.com/45IZzQf",2,Joy,top-right,,"Person, Chair, Shirt, Person",4,Person,center-right,,Chair,bottom-center,,78,lightgray,,,,Infosys,Infosys,top-left,,,,,2,28.32086092
2023-09-08,529,1,0,0,1,0.19,Infosys,Thought Leader,https://twitter.com/Infosys/status/1700094133623206135,"#GenAI - the next big wave but are we ready for the challenge? Bali shared his thoughts on the matter. Discover more in 
@ET_CIO
. http://bit.ly/3LgzArn #InfosysTopaz",1,Joy,center-right,,"Person, Person, Suit",3,Person,center-right,,Person,center-right,,231,darkcyan,,,,,,,,,,,2,83.03370876
2023-09-08,1835,8,0,0,8,0.44,Infosys,Events,https://twitter.com/Infosys/status/1700124330414268449,"Exciting session alert! Join us to think about how purpose & profits come together in ""Planet, People, Prosperity, and Partnership."" The promise of how the future can be sustainable. For more - http://infy.com/461Mp0r #InfosysAmericasConfluence #TechInnovation #AmericasConfluence",2,Joy,center,,"Person, Person",2,Person,center,,Person,center,,321,midnightblue,,,,,,,,,,,2,2.304499783
